"행정구역(동읍면)별(1)","행정구역(동읍면)별(2)",행정구역(동읍면)별(3),항목,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07
"행정구역(동읍면)별(1)","행정구역(동읍면)별(2)",행정구역(동읍면)별(3),항목,계,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
"서울특별시","도봉구",소계,총인구수 (명),305091,16172,20387,20222,17266,20904,20496,27039,26914,27784,25531,16850,13050,10010,5024,1635,384,67
"서울특별시","도봉구",소계,남자인구수 (명),147675,7912,10161,10439,8795,10677,10118,13117,12731,13132,11965,7916,5861,4219,1826,448,92,14
"서울특별시","도봉구",소계,여자인구수 (명),157416,8260,10226,9783,8471,10227,10378,13922,14183,14652,13566,8934,7189,5791,3198,1187,292,53
"서울특별시","노원구",소계,총인구수 (명),494451,32623,32331,32163,28691,35704,37476,46189,40256,38736,34603,23290,17655,13089,6998,2447,557,88
"서울특별시","노원구",소계,남자인구수 (명),237042,16339,16471,16160,14492,17204,17676,22213,19431,18138,15779,10595,7444,5092,2258,625,120,19
"서울특별시","노원구",소계,여자인구수 (명),257409,16284,15860,16003,14199,18500,19800,23976,20825,20598,18824,12695,10211,7997,4740,1822,437,69
"서울특별시","은평구",소계,총인구수 (명),464004,25016,35577,36843,29562,34973,33490,40920,36983,36866,32437,22593,18188,13600,6809,1967,446,64
"서울특별시","은평구",소계,남자인구수 (명),219908,11895,16158,17923,14488,17448,16282,19873,17698,17275,14902,9897,7759,5658,2475,576,102,16
"서울특별시","은평구",소계,여자인구수 (명),244096,13121,19419,18920,15074,17525,17208,21047,19285,19591,17535,12696,10429,7942,4334,1391,344,48
"서울특별시","서대문구",소계,총인구수 (명),305056,21260,26641,24225,20614,22683,20673,25582,23355,22382,19311,13115,10989,8820,4750,1436,339,60
